Pillar,Phase,Theme,Sub-topic,Description,Guidance,Unit,Main sources of information,Examples
Crisis scope and scale,Preparedness/Pre-crisis,Geography and climate,Administrative Boundaries,,"Terrain/Elevation, COD/FOD layers",,,
Crisis scope and scale,Preparedness/Pre-crisis,Geography and climate,Climate/Precipitation ,,,,,
Crisis scope and scale,Preparedness/Pre-crisis,Geography and climate,Hazard prone areas ,,,,,
Crisis scope and scale,Preparedness/Pre-crisis,Population profile,Population Density,,,,,
Crisis scope and scale,Preparedness/Pre-crisis,Population profile,Demography,,,,,
Crisis scope and scale,Preparedness/Pre-crisis,Population profile,Socio-Economic profile,,,,,
Crisis scope and scale,Preparedness/Pre-crisis,Population profile,Humanitarian profile,,,,,
Crisis scope and scale,Preparedness/Pre-crisis,Infrastructure,Banks and financial institutions,,,,,
Crisis scope and scale,Preparedness/Pre-crisis,Infrastructure,Communication channels,,,,,
Crisis scope and scale,Preparedness/Pre-crisis,Infrastructure,Industrial sites,,,,,
Crisis scope and scale,Preparedness/Pre-crisis,Infrastructure,Market location and flows,,,,,
Crisis scope and scale,Preparedness/Pre-crisis,Infrastructure,Electricity supply networks,,,,,
Crisis scope and scale,Preparedness/Pre-crisis,Infrastructure,Mobile phone/internet use ,,,,,
Crisis scope and scale,Preparedness/Pre-crisis,Infrastructure,Health Facilities,,,,,
Crisis scope and scale,Preparedness/Pre-crisis,Infrastructure,Schools,,,,,
Crisis scope and scale/Humanitarian outcomes,Preparedness/Pre-crisis,Lessons Learned,Previous earthquakes,,"Incl. needs from previous disasters, Operational lessons learnt from other earthquakes",,,
Crisis scope and scale,In-crisis,Population profile,Humanitarian profile ,,,,,
Crisis scope and scale,In-crisis,Population profile,Identification of open areas for aid infrastructure,,,,,
Crisis scope and scale,In-crisis,Population profile,Geographic areas affected,,Type of areas affected (urban/rural etc.),,,
Crisis scope and scale,In-crisis,Population profile,# and location of people affected,,,,,
Crisis scope and scale,In-crisis,Population profile,# and location of buildings damaged or destroyed,,,,,
Crisis scope and scale,In-crisis,Population profile,# and location of those displaced,,,,,
Crisis scope and scale,In-crisis,Population profile,"# and % of functional markets, ",,,,,
Crisis scope and scale,In-crisis,Population profile,# and % of affected people without access to essential food and non-food items in markets,,,,,
Crisis scope and scale,In-crisis,Population profile,"# of people who have lost mobile phone, internet and tv covera",,,,,
Crisis scope and scale,Preparedness/Pre-crisis,Food Security,Seasonal Calendar,"Calendar which outlines the major seasonal hazards (e.g. floods), crop calendar, start school year etc.","Select relevant events (crop calendar, seosonal hazards, school year, national holidays) and plot on calendar",N/A,"WFP - Seasonal and Hazards Calendar, FAO GIEWS,",
Crisis scope and scale,Preparedness/Pre-crisis,Food Security,Prices of main food and non-food items,Prices of main staples (e.g. rice) and non-consumables (e.g. fuel).,Select most relevant commodities. Look for 3-5 year price averages as prices normally vary throughout a year and between years due to seasonal patterns and changes in production.,By item per month,"WFP - Food and Commodity Prices Data Store: http://foodprices.vam.wfp.org/Default.aspx, Government Central Bureau of Statistics",
Crisis scope and scale,Preparedness/Pre-crisis,Food Security,Percentage of Households by duration of staple food stock,Percentage of households that have stocks of staple food to feed their family or have the capacity to access food stocks for a given duration of time.,"Select most relevant staple food item. Look for information on the number of months average stocks last in the relevant period of the year. Timing is very relevant when collecting this information, as food stocks can be highly dependent on the phase of the crop cycle (e.g. before or after harvest).",Household,"WFP Assessment Bank, Food Security Cluster, Joint Food Security Assessments",https://www.humanitarianresponse.info/en/applications/ir/indicator/f-11
Crisis scope and scale,Preparedness/Pre-crisis,Food Security,Harvest in MT by crop and location,Quantity harvest of main staple food or cash crops,Select commodities most relevant for households consumption and income. Look for information on the MT produced by area before the crisis. Look for 3-5 year averages.,MT,"FAO GIEWS, Ministry of Agriculture",
Crisis scope and scale,Preparedness/Pre-crisis,Food Security,Reported disease outbreaks,Deleted,,,,
Crisis scope and scale,Preparedness/Pre-crisis,Food Security,Food preparation customs,"Common ways of preparing food, including type of cooking utensils, food hygiene, type of fuel, food etc.",Look for reports on when and when and how households prepare food.,,"WFP Assessment Bank, Food Security Cluster, Joint Food Security Assessments",
Crisis scope and scale,Preparedness/Pre-crisis,Food Security,Main food sources,"Sources for obtaining food, which could include food purchase, food production, borrowed food, food aid, gifts, barter or wild foods",Look for main sources of food PRE-CRISIS in recent food security assessments or multi-sectoral assessments.,Household,"WFP Assessment Bank, Food Security Cluster, Joint Food Security Assessments",
Crisis scope and scale,Preparedness/Pre-crisis,Food Security,"Main source of income
","Income derived from any given
 source. Example of sources of income can include crop production, wage labour, trading, livestock, fishery, exploitation of
 natural resources, salary and remittances.",Look for recent PRE-CRISIS assessments on the average duration of food stock for the current period of the year and upcoming months,Household,"WFP Assessment Bank, Food Security Cluster, Joint Food Security Assessments",
Crisis scope and scale,Preparedness/Pre-crisis,Food Security,Main sources of expenditure ,Look for recent PRE-CRISIS assessments on the main expenditures by household. Compare pre-crisis to in-crisis information.,Household,"WFP Assessment Bank, Household Economy Assessments, Food Security Cluster, Joint Food Security Assessments",,
Crisis scope and scale,Preparedness/Pre-crisis,Food Security,"Outbreak of animal diseases
","Number of animal disease outbreaks in a community or in any given
 geographical area, in a specified time period.","Look for reports of animal diseases present in the affected area, areas where IDPs settle or surroundings.",,"WHO GLEWS - http://www.who.int/zoonoses/outbreaks/glews/en/, FAO - http://www.fao.org/emergencies/countries/en/",
Crisis scope and scale,In-crisis,Food Security,Seasonal Calendar,"Calendar which outlines the major seasonal hazards (e.g. floods), crop calendar, start school year etc.","Select relevant events (crop calendar, seosonal hazards, school year, national holidays) and plot on calendar",N/A,"WFP - Seasonal and Hazards Calendar, FAO GIEWS,",
Crisis scope and scale,In-crisis,Food Security,Prices of main food and non-food items,Prices of main staples (e.g. rice) and non-consumables (e.g. fuel).,"Select most relevant commodities. Look for information on the price of relevant goods since the crisis. If relevant, for the differences between prices on the informal and formal market.",By item per month,"WFP - Food and Commodity Prices Data Store: http://foodprices.vam.wfp.org/Default.aspx, Government Central Bureau of Statistics",
Crisis scope and scale,In-crisis,Food Security,Percentage of Households by duration of staple food stock,Percentage of households that have stocks of staple food to feed their family or have the capacity to access food stocks for a given duration of time.,,Households,"WFP, FAO, Government Central Bureau of Statistics",https://www.humanitarianresponse.info/en/applications/ir/indicator/f-11
Crisis scope and scale,In-crisis,Food Security,Harvest in MT by crop and location,Quantity harvest main staple food or cash crops,Select commodities most relevant for households consumption and income. Look for information on the MT produced by area since the on-set of the crisis,MT,"FAO GIEWS, Ministry of Agriculture",
Crisis scope and scale,In-crisis,Food Security,Reported disease outbreaks,Deleted,,,,
Crisis scope and scale,In-crisis,Food Security,Food preparation customs,"Common ways of preparing food, including type of cooking utensils, food hygiene, type of fuel, food etc.",Look for reports on when and when and how households prepare food.,,"WFP Assessment Bank, Food Security Cluster, Joint Food Security Assessments",
Crisis scope and scale,In-crisis,Food Security,Main food sources,"Sources for obtaining food, which could include food purchase, food production, borrowed food, food aid, gifts, barter or wild foods IN-CRISIS",Look main sources of food IN-CRISIS in recent food security assessments or multi-sectoral assessments. Compare the PRE-CRISIS to IN-CRISIS scores,Household,"WFP Assessment Bank, Food Security Cluster, Joint Food Security Assessments",
Crisis scope and scale,In-crisis,Food Security,"Main sources of income
","Income derived from any given
 source. Example of sources of income can include crop production, wage labour, trading, livestock, fishery, exploitation of
 natural resources, salary and remittances.",Look for recent IN-CRISIS assessments on the main sources of income by household. Compare pre-crisis to in-crisis information.,Household,"WFP Assessment Bank, Household Economy Assessments (http://www.heawebsite.org/baseline-assessments) Food Security Cluster, Joint Food Security Assessments",
Crisis scope and scale,In-crisis,Food Security,Main sources of expenditure ,"Main household expenditures, including food, health, education, housing, transportation, clothing and fuel.",Look for recent IN-CRISIS assessments on the main expenditures by household.,Household,"WFP Assessment Bank, Household Economy Assessments, Food Security Cluster, Joint Food Security Assessments",
Crisis scope and scale,In-crisis,Food Security,"Outbreak of animal diseases
","Number of animal disease outbreaks in a community or in any given geographical area, in a specified time period.","Look for reports of animal diseases present in the affected area, areas where IDPs settle or surroundings.",,"WHO GLEWS - http://www.who.int/zoonoses/outbreaks/glews/en/, FAO - http://www.fao.org/emergencies/countries/en/",
Crisis scope and scale,In-crisis,Food Security,% of households no longer able to plant,"Share of households that are unable to restart their agricultural activities in the upcoming cropping season. To be able to farm, HHs need access to arable land, seeds, tools and other agricultural inputs. Depending on the type of crisis, one or more of these can become unavailable.",Look for % of HH that commonly plant crops in areas affected but are unable due to the crisis.,Household,"WFP Assessment Bank, Household Economy Assessments, Food Security Cluster, Joint Food Security Assessments",
Crisis scope and scale,In-crisis,Food Security,% change in herd size,Percentage of change to overall herd size because households either lost animals because of the crisis or had to sell or slaughter their animals as an emergency measure ( emergency destocking),Look for % of HH that have lost animals or resorted to emergency destockingy.,Household,"Livelhoods Assessments, Government Central Bureau of Statistics, FAO GIEWS",
Crisis scope and scale,Preparedness/Pre-crisis,Health,"# and % of functional health care facilities, ","The number of basic health units, i.e. all public and private health facilities, defined as a static facility (a designated building) or mobile clinics in which general health services are offered, in a defined administrative or health area. Proxy indicator for the physical availability and geographical accessibility of selected services relevant to the local context.","Look for (spatial) information on functional health infrastructure, including hospitals and community health centres PRE-CRISIS",Facilities,"Ministry in charge of health, census of health facilities, WHO, Assessment of service availability (e.g. SARA, HeRAMS)",
Crisis scope and scale,Preparedness/Pre-crisis,Health,Health Facility safety index (vulnerability and resilience),??,,,,
Crisis scope and scale,Preparedness/Pre-crisis,Health,"# staff by 1,000 people",deleted (redundant),,,,
Crisis scope and scale,Preparedness/Pre-crisis,Health,Health system status,deleted (redundant),,,,
Crisis scope and scale,Preparedness/Pre-crisis,Health,"Number of functional health centres/50,000 population","The number of basic health units, i.e. all public and private health facilities, defined as a static facility (a designated building) or mobile clinics in which general health services are offered, in a defined administrative or health area PRE-CRISIS","Identify the number of health centres by 50,000 people.",Individuals,Census of health facilities; assessment of functionality of health facilities,
Crisis scope and scale,Preparedness/Pre-crisis,Health,"Number of inpatient beds per 10,000 population","Number of inpatient beds in functional health facilities, i.e. all public and private health facilities, in a defined administrative or health area PRE-CRISIS","Identify the number of in-patient beds by 10,000 people",Individuals,"health statistics; assessment of service availability (eg SARA, HeRAMS)",
Crisis scope and scale,Preparedness/Pre-crisis,Health,"Number of health workers per 10,000 population",Total number of health workers (medical doctor + nurse + midwife) in a defined administrative or health area at a certain PRE-CRISIS/ The total population for the same geographical or health area PRE-CRISIS,"Identify the number of health workers per 10,000 population.",Individuals,"Government health statistics; assessment of service availability (eg SARA, HeRAMS);",https://www.humanitarianresponse.info/en/applications/ir/indicator/h-a7
Crisis scope and scale,Preparedness/Pre-crisis,Health,Coverage of measles vaccination (%),"Measles coverage refers to the percentage of children who have received at least one dose of measles-containing vaccine in a given year BEFORE THE CRISIS. The emergency threshold is: > 95% in camps or urban areas; > 90% in rural areas. To avoid overestimation, measles vaccination coverage is often used as a proxy since it is usually lower than DPT3 coverage.",Look for measles coverage % for children under 5.,Individual,"Routine health facility reporting system, Multi Indicator Cluster Surveys (http://mics.unicef.org/), other houshold level surveys",
Crisis scope and scale,Preparedness/Pre-crisis,Health,Percentage of births assisted by a skilled attendant,"Number of births in a defined administrative or health area assisted by a skilled attendant in a given period of time
 /Estimated total number of births in the same administrative or health area in the same period of time. This is a proxy measure for the utilization rate of obstetrics services in health facilities and in communities where Village-Trained Midwives are operating. It is a measure of a health systems ability to provide adequate care for pregnant women during labour and delivery.",Look for % of births assisted by a skilled attendant IN-CRISIS,Births,"Ministry of Health, Multiple Indicator Cluster Surveys (http://mics.unicef.org/), Demographic Health Services (",https://www.humanitarianresponse.info/en/applications/ir/indicator/h-c5
Crisis scope and scale,In-cisis,Health,"# and % of functional health care facilities, ","The number of basic health units, i.e. all public and private health facilities, defined as a static facility (a designated building) or mobile clinics in which general health services are offered, in a defined administrative or health area AFTER THE CRISIS. Proxy indicator for the physical availability and geographical accessibility of selected services relevant to the local context.","Look for (spatial) quantitative or qualitative data on functionality of health facilities, including reports on damage, destruction, occupation of facilities by military forces or IDPs.",Facilities,"Assessment of service availability (e.g. SARA, HeRAMS)",
Crisis scope and scale,In-cisis,Health,Health Facility safety index (vulnerability and resilience),??,,,,
Crisis scope and scale,In-cisis,Health,"# staff by 1,000 people",deleted (redundant),,,,
Crisis scope and scale,In-cisis,Health,Health system status,??,,,,
Crisis scope and scale,In-cisis,Health,"Number of functional health centres/50,000 population",Deleted (redundant),,Individuals,"assessment of functionality of health facilities, health facility damage reports",
Crisis scope and scale,In-cisis,Health,"Number of inpatient beds per 10,000 population","Number of inpatient beds in functional health facilities, i.e. all public and private health facilities, in a defined administrative or health area AFTER THE CRISIS",Look for the number of beds available in health facilities still functioning within the affected area.,Individuals,"Assessment of service availability (eg SARA, HeRAMS)",
Crisis scope and scale,In-cisis,Health,"Number of health workers per 10,000 population",Total number of health workers (medical doctor + nurse + midwife) in a defined administrative or health area AFTER THE CRISIS/ The total population for the same geographical or health area AFTER THE CRISIS,Look for the number of staff providing medical care within the affected area.,Individuals,"Assessment of service availability (eg SARA, HeRAMS);",https://www.humanitarianresponse.info/en/applications/ir/indicator/h-a7
Crisis scope and scale,In-cisis,Health,Coverage of measles vaccination (%),"Measles coverage refers to the percentage of children who have received at least one dose of measles-containing vaccine in a given year AFTER THE CRISIS. The emergency threshold is:
 > 95% in camps or urban areas; > 90% in rural areas To avoid overestimation, measles vaccination coverage is often used as a proxy since it is usually lower than DPT3 coverage.",Look for measles coverage % for children under 5.,Children <5,Health facility reporting system,
Crisis scope and scale,In-cisis,Health,Percentage of births assisted by a skilled attendant,"Number of births in a defined administrative or health area assisted by a skilled attendant in a given period of time
 /Estimated total number of births in the same administrative or health area in the same period of time. This is a proxy measure for the utilization rate of obstetrics services in health facilities and in communities where Village-Trained Midwives are operating. It is a measure of a health systems ability to provide adequate care for pregnant women during labour and delivery.",Look for % of births assisted by a skilled attendant.,Births,Health facility reporting system,https://www.humanitarianresponse.info/en/applications/ir/indicator/h-c5
Crisis scope and scale,Preparedness/Pre-crisis,Shelter,Average cost of shelter-related energy / fuel,The average cost of commonly-used used sources of energy such as diesel PRE-CRISIS.,Define most important sources of energy/fuel. Identify average price PRE-CRISIS. Present seasonal varieties.,National currency,"Shelter Assessments, Census",
Crisis scope and scale,Preparedness/Pre-crisis,Shelter,Average cost NFI and shelter related material,"The average cost of essential NFI materials related material such as blankets, diapers and jerrycans PRE-CRISIS.",Define most important NFI materials. Identify average price PRE-CRISIS. Present seasonal varieties.,National currency,"Shelter Assessments, Census",
Crisis scope and scale,Preparedness/Pre-crisis,Shelter,"Shelter/dwelling typologies, construction methods, and vernacular materials",Merged with 75,,,,
Crisis scope and scale,Preparedness/Pre-crisis,Shelter,Total number of houses/ dwellings,Merged with 75,,,,
Crisis scope and scale,Preparedness/Pre-crisis,Shelter,"Market access to (typical) emergency/early recovery shelter items (tarps, CGI - depending on context)",Merged with 70,,,,
Crisis scope and scale,Preparedness/Pre-crisis,Shelter,"Market availability of (key) construction materials, tools, labour","Access to and availability of (typical) emergency/early recovery shelter items (tarps, CGI - depending on context), labour and tools PRE-CRISIS",Look for market assessment reports and anecdotal information on difficulties in accessing required shelter and NFI materials.,,"Shelter Assessments, Census",
Crisis scope and scale,Preparedness/Pre-crisis,Shelter,Rental market availability,Costs and availability of accomodation for rent,Look for formal and informal rent policies and prices,,"Shelter Assessments, Census",
Crisis scope and scale,In-crisis,Shelter,Average cost shelter-related energy/fuel,The average cost of commonly-used used sources of energy such as diesel IN-CRISIS,Define most important sources of energy/fuel. Identify average price IN-CRISIS. Include evolution since crisis.,,"Shelter Assessments, Census",
Crisis scope and scale,In-crisis,Shelter,Average cost NFI and shelter related material,"The average cost of essential NFI materials related material such as blankets, diapers and jerrycans IN-CRISIS.",Define most important NFI materials. Identify average price IN-CRISIS. Include evolution since crisis.,,"Shelter Assessments, Census",
Crisis scope and scale,In-crisis,Shelter,%/# of households identified with damaged/destroyed dwellings/houses,%/# of households identified with damaged/destroyed dwellings/houses,Look for total number of houses/dwellings and the type of building existing within the affected area. Determine which settlements are composed of building types that are most at risk of damage and destruction for that specific crisis.,Households,"Shelter Assessments, Census",
Crisis scope and scale,In-crisis,Shelter,"%/# of households displaced resulting from damage (disaggregated by settlement type - collective centres, host families, rentals, self settled/informal settlements)",Deleted (see population profile),,,,
Crisis scope and scale,In-crisis,Shelter,"Market availability of key construction materials, tools, labour","Availability of (typical) emergency/early recovery shelter items (tarps, CGI - depending on context), labour and tools PRE-CRISIS",Look for market assessment reports and anecdotal information on shortages of required shelter and NFI materials and difficulties accessing markets,,"Shelter Assessments, Census",
Crisis scope and scale,Preparedness/Pre-crisis,WASH,"Types, functionality and # of key WASH infrastructure","Location of key water infrastructure, including waste water treatment facilities",Look for spatial data on location and functioning of main water infrastructure PRE-CRISIS,,Ministry in charge of water and sanitation,
Crisis scope and scale,Preparedness/Pre-crisis,WASH,WASH infrastructure governance and policies.,"Policies and governance related to WASH infrastructure, including for instance pricecaps for the sale of drinking water",Look for official sources on rules and regulation influencing the management of WASH infrastructure and provision.,,Ministry in charge of water and sanitation,
Crisis scope and scale,Preparedness/Pre-crisis,WASH,"Types, functionality and coverage of water sources available and main water sources used","Main sources of drinking water used by household. Possible types of water sources are categorised as improved (e.g.: Piped water into dwelling, Public tap/standpipe, Protected Dugwell, Bottled water, and unimproved (e.g. Unprotected Spring, Tanker-truck, Surface water)",Look % of household by main sources of water used for household consumption - differentiate between urban and rural settings.,Household,"WHO/UNICEF Joint Monitoring Programme , Multiple Indicator Cluster Surveys, Demographic and Health Surveys",
Crisis scope and scale,Preparedness/Pre-crisis,WASH,"Types, functionality and coverage of sanitation facilities available and main facilities used. ","Main sanitation facilities used by household. Possible toilet facilities are categorised as improved (e.g. flush toilet, piped sewer system, septic tank) and unimproved (e.g. pit latrine without slab, bucket, hanging toilet)",Look for % of households by type of toilet facilities PRE-CRISIS - differentiate between urban and rural settings.,Household,"WHO/UNICEF Joint Monitoring Programme , Multiple Indicator Cluster Surveys, Demographic and Health Surveys",
Crisis scope and scale,Preparedness/Pre-crisis,WASH,"Handwashing and access to soap, hygiene practices","Common handwashing practicites, including frequency of washing hands with soap.",Look for % of households regularly washing hands with soap PRE-CRISIS and any country specific hygiene practices,,"WHO/UNICEF Joint Monitoring Programme , Multiple Indicator Cluster Surveys, Demographic and Health Surveys, KAP Surveys (Knowledge, Attitude and Practice).",
Crisis scope and scale,In-crisis,WASH,WASH infrastructures partially or totally disrupted/destroyed,"Functionaility of key water infrastructure, including waste water treatment facilities",Look for spatial data on location and functioning of main water infrastructure IN-CRISIS,,Damage assessment data,
Crisis scope and scale,In-crisis,WASH,Electricity Supply (mW / hrs),Electricity supply currently and as compared to pre-crisis,Look for electricity availability (hours a day) - differentiate between urban and rural settings.,Hours a day,,
Crisis scope and scale,In-crisis,WASH,Type of water sources available and main water sources,Deleted (Redundant),,,,
Crisis scope and scale,In-crisis,WASH,Access to sanitation infrastructure,Deleted (Redundant),,,,
Crisis scope and scale,In-crisis,WASH,% of water samples meeting water quality indicators,Deleted (Redundant),,,,
Crisis scope and scale,In-crisis,WASH,# emergency toilets required,Deleted (Redundant),,,,
Crisis scope and scale,In-crisis,WASH,Access to sanitation infrastructure – type and functionality,Deleted (Redundant),,,,
Crisis scope and scale,In-crisis,WASH,# people per latrine,"Average number of users per functioning toilet - A functioning toilet is one that is fully constructed, in working order, of a type and in a location acceptable to intended users.",Look for population at a specific site of interest (e.g. displacement sites) / number of functioning toilets,,"IOM Displacement Tracking Matrix, CCCM Cluster (http://www.globalcccmcluster.org/), WASH assessments",
Crisis scope and scale,In-crisis,WASH,# people per shower,"Average number of users by shower. Appropriate bathing facilities may include bathrooms, showers and other bathing areas at household level, or communal facilities",Look for population at a specific site of interest (e.g. displacement sites) / number of functioning showers,,"IOM Displacement Tracking Matrix, CCCM Cluster (http://www.globalcccmcluster.org/), WASH assessments",
Crisis scope and scale,In-crisis,WASH,# of emergency shelter required / constructed ,The gap between the number of people in need emergency shelter and those covered by an appropriate intervention.,Look for the estimated number of people in in need of emergency shelter and the population covered by the required intervention.,,"4W, WASH Cluster",
Crisis scope and scale,In-crisis,WASH,# hygiene kits required / distributed,The gap between the number of people in need of hygiene kits and those covered by an appropriate intervention.,Look for the estimated number of people in in need of hygiene kits and the population covered by the required intervention.,,"4W, WASH Cluster",
Crisis scope and scale,Preparedness/Pre-crisis,Nutrition,# and location of health facilities,Deleted (In health section),,,,
Crisis scope and scale,Preparedness/Pre-crisis,Nutrition,Nutrition policy and strategy,Policies and governance related to nutirtion infrastructure and infrastructure,Look for official sources on rules and regulation influencing nutrition interventions,,Government in charge of health and/or food standards,
Crisis scope and scale,In-crisis,Nutrition,Key Health/nutrition infrastructures partially or totally disrupted/destroyed.,"Number and location of functionaing nutrition infrastructure, including for instance breast feeding centres","Look for pre-crisis presence of nutrution infrastructure an information on the functionality of the services. Think of allf factors that can impact functionality, including the state of infrastructure, staff and equipment.",,"Damage assessments, Health/nutrition assessments",
Crisis scope and scale,Preparedness/Pre-crisis,Protection,"National Law and Regulations on civil rights, property ownership and family law","All laws related to for instance on gender equality and enforcement level, property ownership; inheritance; family law (marriage, divorce, custody, adoption etc.); age of consent; gender/GBV laws (i.e. mandatory reporting)",Look for official sources on laws and regulations governing issues related to family and property.,,,
Crisis scope and scale,Preparedness/Pre-crisis,Protection,Availability of reproductive health services,Percentage of health facilities where reproductive health services are available,"# and % of health facilities where Clinical Management of Rape is available, or facilities with sexual and reproductive health services",,"4W, Protection Cluster",
Crisis scope and scale,Preparedness/Pre-crisis,Protection,Availability of legal/psychosocial services to survivors of sexual and gender based violence,Number of service providers providing legal/psychosocial services to survivors of GBV,Number of service providers providing legal/psychosocial services to survivors of GBV,,"4W, Protection Cluster",
Crisis scope and scale,Preparedness/Pre-crisis,Protection,Care arrangements for separated and unaccompanied children,"Separated children are those separated from both parents, or
 from their previous legal or customary primary care-giver, but not
 necessarily from other relatives. Unaccompanied children (also called unaccompanied minors)
 are children who have been separated from both parents and other relatives.","Look for PRE-CRISIS types of care arrangements for separated and unaccompanied children, existing gaps and entities responsible for provision of care.",,,
Crisis scope and scale,Preparedness/Pre-crisis,Protection,"Law, policies and common practices on adoption (in and out of country)",Merged with 97,,,,
Crisis scope and scale,In-crisis,Protection,Damage and destruction of critical protection infrastructure,"# of infrastructures, including health facilities with CMR or psychosocial services, law and order facilities, partially or totally disrupted/destroyed.","Look for information on the # of infrastructures, including health facilities with CMR or psychosocial services, law and order facilities, partially or totally disrupted/destroyed.",,"Damage assessments, Protection Assessments, Protection Cluster",
Crisis scope and scale,In-crisis,Protection,# of persons reported disappeared/abducted / missing,,# of persons reported disappeared/abducted / missing [broken down by geographical area],Individuals,"Government, Protection Cluster, Media",
Crisis scope and scale,In-crisis,Protection,Availability of referral systems for survivors of sexual and gender based violence,"Presence of referral systems including multi sectoral services (health psychosocial, legal and security) for GBV survivors",Look for guidelines and implementation of referral mechanisms for survivors of sexual and gender based violence.,,Protection Cluster,
Crisis scope and scale,Preparedness/Pre-crisis,CCCM,# of pre-existing displacement sites ,,,,,
Crisis scope and scale,Preparedness/Pre-crisis,CCCM,"#  and locations of pre-identified displacement sites (evacuation sites, open spaces, …)",,,,,
Crisis scope and scale,In-crisis,CCCM,# and locations of displacement sites,,,,,
Crisis scope and scale,In-crisis,CCCM,# and % of displacement sites conducting IDP registration activities,,,,,
Crisis scope and scale,In-crisis,CCCM,# and % of displacement sites with representative governance structures,,,,,
Crisis scope and scale,In-crisis,CCCM,# and % of displacement sites with restrictions on movement in and out of the displacement site,,,,,
Crisis scope and scale,In-crisis,CCCM,# and % of IDPs by type of settlement,Merged with 112,"# and % of IDPs located outside camps or camp-like settings, in camps or camp-like settings",,,
Crisis scope and scale,In-crisis,CCCM,# and %  of IDPs in camps or camp-like settings,Merged with 111,,,,
Crisis scope and scale,In-crisis,Logistics,Transportation Network (Geographic) -,,"Roads (Classified by size), Railways,  Airports/helipads, Seaports",,,
Crisis scope and scale,In-crisis,Logistics,Roads (Classified by size) - ,Merged with 113,,,,
Crisis scope and scale,In-crisis,Logistics,Railways -,Merged with 113,,,,
Crisis scope and scale,In-crisis,Logistics,Airports/helipads - ,Merged with 113,,,,
Crisis scope and scale,In-crisis,Logistics,Seaports,Merged with 113,,,,
Crisis scope and scale,In-crisis,Logistics,Detailed street mapping (with street names) of affected urban areas,,,,,
Crisis scope and scale,In-crisis,Logistics,Capacity and location Air/Sea ports/Railways,,,,,
Crisis scope and scale,In-crisis,Logistics,Availability of storage and their locations,,,,,
Crisis scope and scale,In-crisis,Logistics,Location of roads damaged or inaccessible (broken bridges/impassable stretches of roads),,,,,
Crisis scope and scale,In-crisis,Logistics,Information about entry points (airports/ports/border crossings),,,,,
