Pillar,Phase,Theme,Sub-topic,Description,Guidance,Unit,Main sources of information,Examples
Crisis scope and scale,In-crisis,Logistics,Locations of landing zones,,,,,
Crisis scope and scale,In-crisis,Logistics,Areas at risk of landslides # and location of landslides,,,,,
Crisis scope and scale,In-crisis,Logistics,Areas at risk of landslides,Merged with 125,,,,
Crisis scope and scale,In-crisis,Logistics,Warehouses/storage locations,,,,,
Crisis scope and scale,In-crisis,Logistics,Enrollment policies and school governance,,"including age brackets (pre-primary, primary and secondary school) ",,,
Crisis scope and scale,In-crisis,Logistics,Main barriers to accessing  education,,,,,
Crisis scope and scale,In-crisis,Education,"# of learning spaces, private and public by school district/zone",,"Look for (spatial) information on learning spaces (schools, community cntres etc) by area.",Learning spaces,,
Crisis scope and scale,In-crisis,Education,"# of MoE administrative offices by school district/zone,",,Look for (spatial) information on the number and location of MoE administrative offices,Offices,,
Crisis scope and scale,In-crisis,Education,"# of schools/learning spaces with active recreational sports education programs for boys and girls,",Deleted,,,,
Crisis scope and scale,In-crisis,Education,# of teachers (male/female),deleted (redundant),,,,
Crisis scope and scale,In-crisis,Education,Student/teacher ratio,Number of teachers by student PRE-CRISIS,Breakdown by male/female/ and public/privat if possible.,,,
Crisis scope and scale,In-crisis,Education,"Education infrastructures,","% of education facilities (including learning spaces and MoE administrative offices) functioning, partly functioning and not functioning","Look for quantiative or qualitative information on schools damaged, destroyed, occupied by armed groups or IDPs.",School,,
Crisis scope and scale,In-crisis,Education,Percentage of schools/learning spaces occupied,Merged with 134,,,,
Crisis scope and scale,In-crisis,Education,Percentage of schools/learning spaces occupied by IDPs in affected area,Merged with 134,,,,https://www.humanitarianresponse.info/en/applications/ir/indicator/e-1-16
Crisis scope and scale,In-crisis,Education,# of MoE staff and teachers who are unable to return to work,"Staff unable to return to work, for instance because of a lack of transport, insecurity",# of teachers per area that have not returned,,,
Crisis scope and scale,In-crisis,Education,# of schools/learning spaces with damaged/missing learning materials,"# of schools where learning materials such as books and stationary were looted, damaged ro destroyed.",Look for quantitative or qualitative information on the unavailability of essential learning materials,Learning spaces,,
Crisis scope and scale,In-crisis,Education,"# of incidents where education facilities, students, teachers and or education personnel have been attacked","# of incidents where education facilities, students, teachers and or education personnel have been attacked",,,,
Crisis scope and scale,In-crisis,Education,Student/teacher ratio,Number of teachers by student IN-CRISIS. Breakdown by male/female/ and public/privat if possible.,Breakdown by male/female/ and public/privat if possible.,Student,,
Crisis scope and scale,In-crisis,Education,# and % of schools not having functional WASH facilities,deleted (see WASH section),,,,
Humanitarian outcomes,Preparedness/Pre-crisis,Population profile,"Humanitarian needs resulting from previous disasters

",,,,,
Humanitarian outcomes,In-crisis,Population profile,Priority sectors and people in moderate or severe need per sector,,,,,
Humanitarian outcomes,In-crisis,Population profile,Potential risks that may change the humanitarian situation,,,,,
Humanitarian outcomes,In-crisis,Population profile,Possible movements of people and potential destinations,,,,,
Humanitarian outcomes,In-crisis,Food Security,Change in Food Consumption Patterns,"Food consumption patterns is generally measured by two indicators: the Food Consumption Score (FCS) and Household Dietary Diversity Score [HDDS] (either one of them or the two together). Frequency of meals can also be used as proxy for food consumption patterns. The FCS is a composite indicator that measures dietary diversity, food frequency and the relative nutritional importance of food groups based on a seven day recall of food consumed at household level. The HDDS is the simple sum of the number of food groups consumed at HH level based on a 24h recall (from 0 to 12)",Find the Food Consumption Score or Household Dietary Diversity Score in recent food security assessments or multi-sectoral assessments. Compare the PRE-CRISIS to IN-CRISIS scores,Household,"WFP Assessment Bank, Food Security Cluster, Joint Food Security Assessments",
Humanitarian outcomes,In-crisis,Food Security,Household dietary diversity score ,deleted,,,,
Humanitarian outcomes,In-crisis,Food Security,Coping Strategies,Affected households may use coping strategies to deal with a reduced ability to access food. Coping strategies include limiting portion size at mealtimes and purchasing food on credit.,Look for main coping strategies IN-CRISIS in recent assessments or multi-sectoral assessments. Compare the PRE-CRISIS to IN-CRISIS scores,Household,"Multi-Sectoral Assessments, WFP Assessment Bank, Food Security Cluster",
Humanitarian outcomes,Preparedness/Pre-crisis,Food Security,Food Consumption Score ,deleted,,,,
Humanitarian outcomes,Preparedness/Pre-crisis,Food Security,Household dietary diversity score ,deleted,,,,
Humanitarian outcomes,Preparedness/Pre-crisis,Food Security,Coping Strategies,Affected households may use coping strategies to deal with a reduced ability to access food. Coping strategies include limiting portion size at mealtimes and purchasing food on credit.,Look main coping strategies PRE-CRISIS in recent assessments or multi-sectoral assessments.,Household,"Multi-Sectoral Assessments, WFP Assessment Bank, Food Security Cluster",
Humanitarian outcomes,Preparedness/Pre-crisis,Health,Main causes of mortality and morbidity <5,"Main causes of morbidity and mortality in under 5 year olds, which often includes birth complications, pneumonia, birth asphyxia, diarrhoea and malaria",Look for main causes of morbidity and mortality as % of all deaths in children under 5 years of age.,,"WHO country profiles, DHS, MICS",
Humanitarian outcomes,Preparedness/Pre-crisis,Health,Historical Records of known outbreaks,All recorded communicable disease outbreaks within a specific geographic area,"List prior outbreaks of communicable diseases with year, type of disease, likely cause, morbidity and mortality rate.",,"WHO Disease Outbreak Registry (http://www.who.int/csr/don/archive/country/en/), Reliefweb, National and International Media, National Ministry of Health",
Humanitarian outcomes,Preparedness/Pre-crisis,WASH,% of population access to improved water source (rural/urban),"Proportion of household with access to water of a suitable quality. The water sources likely to be of suitable quality,or “improved”, are: a piped water supply into the dwelling; piped water to a yard/plot; a public tap/standpipe; a tube well/borehole; a protected dug well; a protected spring; and rainwater. Water sources that are “unimproved” are: an unprotected dug well; an unprotected
 spring; a cart with a small tank/drum; a water tanker-truck; and surface water.",Look for PRE-CRISIS large household surveys covering access to water. Select the proportion of households with access to all water sources categorised as improved within that context,Households,"WHO/UNICEF Joint Monitoring Programme http://www.wssinfo.org/documents/?tx_displaycontroller[type]=country_files, Multiple Indicator Cluster Surveys, Demographic and Health Surveys, Ministry in charge of water and sanitation",
Humanitarian outcomes,Preparedness/Pre-crisis,WASH,"Previous outbreak Case Fatality Rate, trends",deleted (health section),,,,
Humanitarian outcomes,Preparedness/Pre-crisis,WASH,% of the population with access to potable water source,deleted (redundant),,,,
Humanitarian outcomes,Preparedness/Pre-crisis,WASH,% of population access to improved sanitation facilities (rural/urban),A sanitation facility is considered adequate if it hygienically separates human excreta from human contact. The types of technology that are likely to meet this criterion are: flush to piped sewer system; flush to septic tank; flush/pour flush to pit; composting toilet; VIP latrine; pit latrine with a slab. Types of sanitation facilities that are not likely to meet the criterion are: flush/pour flush elsewhere; pit latrine without a slab/open pit; bucket; and a hanging toilet.,Look for PRE-CRISIS large household surveys covering access to water. Select the proportion of households with access to all sanitation facilities categorised as improved within that context,Household,"WHO/UNICEF Joint Monitoring Programme http://www.wssinfo.org/documents/?tx_displaycontroller[type]=country_files, Multiple Indicator Cluster Surveys, Demographic and Health Surveys, Ministry in charge of water and sanitation",
Humanitarian outcomes,Preparedness/Pre-crisis,WASH,Most vulnerable groups ,deleted,(e.g. women who need to fetch water),,,
Humanitarian outcomes,Preparedness/Pre-crisis,WASH,# and % of schools without WASH facilities,Number of schools without functionining water and sanitation facilities,"Look for PRE-CRISIS data on the number of school. Categorise by type of school e.g. elementary, high school. Select schools without adequate WASH facilities.",School,"Education Assessments, Ministry in charge of Education, Ministry in charge of water and sanitation.",
Humanitarian outcomes,In-crisis,WASH,Disease trends,deleted (health section),,,,
Humanitarian outcomes,In-crisis,WASH,# safe water containers required / provided,"Number of households in need of a safe water containers (e.g. tank, bottle, jerrycan) and number of containers provided.",Look for the estimated number of people in in need of safe water containers and the population covered by the required intervention.,Household,"WASH Assessments, 4W",
Humanitarian outcomes,In-crisis,WASH,# Liters water/day/person required / provided,"Number of liters per water per day provided by person through for instance water trucking, wells, public tabs etc.",Look for the estimated number of people in in need of safe water containers and the population covered by the required intervention.,Liter/per day/ per person,"WASH Assessments, 4W",
Humanitarian outcomes,In-crisis,WASH,Types of Public Health risks in each location and likelihood (scoring. ranking).,???,,,,
Humanitarian outcomes,In-crisis,WASH,Health trends per camps / location,"Number of cases per week by site, broken down by communicable and non-communicable diseases. Common diseases of interest include those that have epidemic potential and ability to cause severe morbidity or death. Take into account seasonal trends.",,,"Early warning and response network, IOM Displacement Tracking Matrix, CCCM Cluster (http://www.globalcccmcluster.org/), displacement site profiles, health assessments",
Humanitarian outcomes,In-crisis,WASH,# of people by tap / source,Number of people by water tap in a specific site,,,"OM Displacement Tracking Matrix, CCCM Cluster (http://www.globalcccmcluster.org/), displacement site profiles, Assessments including a WASH component.",
Humanitarian outcomes,Preparedness/Pre-crisis,Nutrition,Prevalence of GAM (SAM and MAM) among boys and girls 6-59 months (%) - WFH Z-score and/or edema,"Anthropometric measurements (measurements of body proportions, such as weight and height) are used to give an approximation of the nutrition status of a population. Weight-for-height is a commonly used indice to measure wasting. The weight to height index is compared to the same index for a reference population that has no shortage of nutrition, resulting in a Global Acute Malnutrition (GAM) score. The GAM score is a combination of the Severe Acute Malnutrition (SAM) and Moderate Acute Malnutrition (MAM) scores. There are other indices that can be used - wasting can also be measured by Mid Upper Arm Circumference (MUAC), which is relatively easy to measure and a good predictor of immediate risk of death for children 6-59 months.","If data is not available on Globl Acute Malnutration look for: rapid nutrition assessments findings from MUAC screening data, or nutrition data from sentinel site data, or nutrition data from HMIS, or nutrition program data",Individual,"DHS/MICS/MOH/NGO (Anthropometry, infant and young child feeding practices)
 SMART surveys and other cluster surveys (Anthropometry, infant and young child feeding practices)
 National wide or localized micronutrient surveys (Micronutrient (prevalence of Vitamine A, Anemia, iodine and data on fortification and supplementation coverages)
 National or localized IYCF surveys (Infant and young child feeding practices and information on code violation and policies)
 Nutrition cluster/sector reports and databases",
Humanitarian outcomes,Preparedness/Pre-crisis,Nutrition,Prevalence of stunting (severe and moderate stunting) among boys and girls 6-59 months (%) – HFA Z- Score,"Anthropometric measurements (measurements of body proportions, such as weight and height) are used to give an approximation of the nutrition status of a population. Height-for-age Z-scores (HAZ) are an indication of the level of stunting.",Look for anthropometric assessmnets measuring the levels of stunting of boys and girls 6-59 months.,Individual,"DHS/MICS/MOH/NGO (Anthropometry, infant and young child feeding practices)
 SMART surveys and other cluster surveys (Anthropometry, infant and young child feeding practices)
 National wide or localized micronutrient surveys (Micronutrient (prevalence of Vitamine A, Anemia, iodine and data on fortification and supplementation coverages)
 National or localized IYCF surveys (Infant and young child feeding practices and information on code violation and policies)
 Nutrition cluster/sector reports and databases",
Humanitarian outcomes,Preparedness/Pre-crisis,Nutrition,Infant and Young Child feeding practices,"Feeding practices for children, including barriers for optimal feeding, care practices, hygiene practices, violation on BMS code","Look for PRE-CRISIS information on feeding practices, including breast feeding.",,"DHS/MICS/MOH/NGO (Anthropometry, infant and young child feeding practices)
 SMART surveys and other cluster surveys (Anthropometry, infant and young child feeding practices)
 National wide or localized micronutrient surveys (Micronutrient (prevalence of Vitamine A, Anemia, iodine and data on fortification and supplementation coverages)
 National or localized IYCF surveys (Infant and young child feeding practices and information on code violation and policies)
 Nutrition cluster/sector reports and databases",
Humanitarian outcomes,Preparedness/Pre-crisis,Nutrition,"if N/A, MUAC screening data",Merged with 168,"if N/A, MUAC screening data, if N/A, sentinel site data, if N/A, HMIS data, if N/A nutrition program data",,,
Humanitarian outcomes,Preparedness/Pre-crisis,Nutrition,"if N/A, sentinel site data",Merged with 168,,,,
Humanitarian outcomes,Preparedness/Pre-crisis,Nutrition,"if N/A, HMIS data",Merged with 168,,,,
Humanitarian outcomes,Preparedness/Pre-crisis,Nutrition,if N/A nutrition program data,Merged with 168,,,,
Humanitarian outcomes,Preparedness/Pre-crisis,Nutrition,Micronutrient assessment reports,"Common micronutrient deficiencies, including Vit. A deficiency prevalence and anemia prevalence rates for boys and girls under 5 years old and women of reproductive age, iodine deficiency, other (vitamin C, B1, B3)",Look for quantiative or qualitative information on existing micronutrient deficiencies,,"DHS/MICS/MOH/NGO (Anthropometry, infant and young child feeding practices)
 SMART surveys and other cluster surveys (Anthropometry, infant and young child feeding practices)
 National wide or localized micronutrient surveys (Micronutrient (prevalence of Vitamine A, Anemia, iodine and data on fortification and supplementation coverages)
 National or localized IYCF surveys (Infant and young child feeding practices and information on code violation and policies)
 Nutrition cluster/sector reports and databases",
Humanitarian outcomes,Preparedness/Pre-crisis,Nutrition,AWD morbidity and mortality records and main causes,Deleted (In health section),,,,
Humanitarian outcomes,In-crisis,Nutrition,Prevalence of GAM (SAM and MAM) among boys and girls 6-59 months (%) - WFH Z-score and/or edema,"Anthropometric measurements (measurements of body proportions, such as weight and height) are used to give an approximation of the nutrition status of a population. Weight-for-height is a commonly used indice to measure wasting. The weight to height index is compared to the same index for a reference population that has no shortage of nutrition, resulting in a Global Acute Malnutrition (GAM) score. The GAM score is a combination of the Severe Acute Malnutrition (SAM) and Moderate Acute Malnutrition (MAM) scores. There are other indices that can be used - wasting can also be measured by Mid Upper Arm Circumference (MUAC), which is relatively easy to measure and a good predictor of immediate risk of death for children 6-59 months.","If data is not available on Globl Acute Malnutration look for: rapid nutrition assessments findings from MUAC screening data, or nutrition data from sentinel site data, or nutrition data from HMIS, or nutrition program data",Individual,"DHS/MICS/MOH/NGO (Anthropometry, infant and young child feeding practices)
 SMART surveys and other cluster surveys (Anthropometry, infant and young child feeding practices)
 National wide or localized micronutrient surveys (Micronutrient (prevalence of Vitamine A, Anemia, iodine and data on fortification and supplementation coverages)
 National or localized IYCF surveys (Infant and young child feeding practices and information on code violation and policies)
 Nutrition cluster/sector reports and databases",
Humanitarian outcomes,In-crisis,Nutrition,Prevalence of stunting (severe and moderate stunting) among boys and girls 6-59 months (%) – HFA Z- Score,"Anthropometric measurements (measurements of body proportions, such as weight and height) are used to give an approximation of the nutrition status of a population. Height-for-age Z-scores (HAZ) are an indication of the level of stunting.",Look for anthropometric assessmnets measuring the levels of stunting of boys and girls 6-59 months.,Individual,"DHS/MICS/MOH/NGO (Anthropometry, infant and young child feeding practices)
 SMART surveys and other cluster surveys (Anthropometry, infant and young child feeding practices)
 National wide or localized micronutrient surveys (Micronutrient (prevalence of Vitamine A, Anemia, iodine and data on fortification and supplementation coverages)
 National or localized IYCF surveys (Infant and young child feeding practices and information on code violation and policies)
 Nutrition cluster/sector reports and databases",
Humanitarian outcomes,In-crisis,Nutrition,Infant and Young Child feeding practices,"Feeding practices for children, including barriers for optimal feeding, care practices, hygiene practices, violation on BMS code",Look for IN-CRISIS information on changes in feeding practices,,"DHS/MICS/MOH/NGO (Anthropometry, infant and young child feeding practices)
 SMART surveys and other cluster surveys (Anthropometry, infant and young child feeding practices)
 National wide or localized micronutrient surveys (Micronutrient (prevalence of Vitamine A, Anemia, iodine and data on fortification and supplementation coverages)
 National or localized IYCF surveys (Infant and young child feeding practices and information on code violation and policies)
 Nutrition cluster/sector reports and databases",
Humanitarian outcomes,In-crisis,Nutrition,"if N/A, MUAC screening data",Merged with 175,,,,
Humanitarian outcomes,In-crisis,Nutrition,"if N/A, sentinel site data",Merged with 175,,,,
Humanitarian outcomes,In-crisis,Nutrition,"if N/A, HMIS data",Merged with 175,,,,
Humanitarian outcomes,In-crisis,Nutrition,if N/A nutrition program data,Merged with 175,,,,
Humanitarian outcomes,In-crisis,Nutrition,Micronutrient assessment reports,"Common micronutrient deficiencies, including Vit. A deficiency prevalence and anemia prevalence rates for boys and girls under 5 years old and women of reproductive age, iodine deficiency, other (vitamin C, B1, B3)",Look for quantiative or qualitative information on existing micronutrient deficiencies IN-CRISIS,,"DHS/MICS/MOH/NGO (Anthropometry, infant and young child feeding practices)
 SMART surveys and other cluster surveys (Anthropometry, infant and young child feeding practices)
 National wide or localized micronutrient surveys (Micronutrient (prevalence of Vitamine A, Anemia, iodine and data on fortification and supplementation coverages)
 National or localized IYCF surveys (Infant and young child feeding practices and information on code violation and policies)
 Nutrition cluster/sector reports and databases",
Humanitarian outcomes,In-crisis,Nutrition,AWD morbidity and mortality records and main causes,Deleted (in health section),,,,
Humanitarian outcomes,Preparedness/Pre-crisis,Protection,Sexual Violence,Sexual violence is a sexual act committed against someone without that person’s freely given consent,"Look for # of reported incidents of sexual violence per 10,000 population",Individual,"Demographic and Health Surveys
 Human Rights Watch",
Humanitarian outcomes,Preparedness/Pre-crisis,Protection,Availability of personal identity/civil documents,"Personal/civil documentations includes birth registration, marriage certificate, land ownership documents etc.",% of affected population lacking personal identify/civil documents PRE-CRISIS,individuals,"Registration data, Protection Assessments, Multi-sectoral Assessments",
Humanitarian outcomes,Preparedness/Pre-crisis,Protection,Child protection concerns,"Child protection refers to the preventing and responding to violence, exploitation
 and abuse against children – including commercial
 sexual exploitation, trafficking, child labour and
 harmful traditional practices, such as female genital
 mutilation/cutting and child marriage.","List the types, patterns and scale of child protection concerns, including child labour, violence against children, Birth Registration, involvement/association of children in armed forces and groups, child marriage",,"Demographic and Health Surveys
 Human Rights Watch UNICEF
 Multi-Indicator Cluster Surveys
 Minority Rights
 US Dept of Labor - Findings on the Worst Form of Child Labor",
Humanitarian outcomes,In-crisis,Protection,Child involvement in worst forms of child labour,"The worst forms of child labour include all forms of slavery, prostitution, work which is likely to harm the health, safety or morals of children.",List % of surveyed communities who indicate the involvement of children in worst forms of child labour IN-CRISIS,,"Protection Assessments, Multi-sectoral assessments, HRW",
Humanitarian outcomes,In-crisis,Protection,Family Separation,"When an armed conflict or other disaster occurs, many children
 become separated from their parents or other care-givers.
 Because their status is seldom immediately clear, they are referred
 to as ‘separated’ or ‘unaccompanied children’ rather than
 orphans. Separated children are those separated from both parents, or from their previous legal or customary primary care-giver, because of conflict,population displacement or natural disasters. Unaccompanied children (also called unaccompanied minors)
 are children who have been separated from both parents and other relatives.","Look for statistics on the number of children separated from their families, types of care arrangements for separated and unaccompanied children, existing gaps and entities responsible for provision of care. Also look for capacities and mechanisms in the community to respond to family separation; and any emergency policies or legislation on adoption which have been initiated.)",,"ICRC, Government family reunification efforts,UNICEF",
Humanitarian outcomes,In-crisis,Protection,# of [or percentage of] IDPs/affected population/returnees registered,Number of IDPs/Affectd Population/returnees registered by the (local) authorities,Look for the number of people registered as a proportion of the total (IDP/Returnee/Affected) population,,"Multi-sectoral Assessments, Protection Assessments",
Humanitarian outcomes,In-crisis,Protection,Availability of personal identity/civil documents,"Personal/civil documentations includes birth registration, marriage certificate, land ownership documents etc.","% of affected population lacking personal identify/civil documents, either because they never possessed such documentation or because these were lost during the crisis",individuals,"Registration data, Protection Assessments, Multi-sectoral Assessments, HRW, Amnesty",
Humanitarian outcomes,In-crisis,Protection,Casualties patterns,Number of people (civilians and combatants) injured or killed,"Look for statistics on people injured or killed by age, status, sex and geographic unit since the start of the crisis",,,
Humanitarian outcomes,In-crisis,Protection,Main protection concerns,"Protection concerns include all violations of of relevant bodies of law, namely human rights law, international
 humanitarian law and refugee law. Examples of main protection concerns in humanitarian crisis are harassment or discrimination, arbitrary detention, physical abuse and family separation.",Look for reports from trusted humananitarian or human rights organisations on main current protection concerns,,"UNHCR, Protection Cluster, HRW, Amnesty, Media",
Humanitarian outcomes,In-crisis,Protection,Physical or sexual violence,"Defined as any act of violence that results in, or is likely to result in, physical, sexual or psychological harm",Look for % of surveyed communities indicating there is a risk of physical or sexual violence,,"Multi-sectoral Assessments, Protection Assessments",
Humanitarian outcomes,In-crisis,Protection,Availability of safe spaces for children,"A safe space refers to a formal or informal place where boys and girls feel physically and
 emotionally safe.",Look for % of communities [or camps] that have functioning safe spaces for children [and/or youth],,4W,
Humanitarian outcomes,In-crisis,Protection,Child recruitment,"Including any person below 18 years of age who is, or who has been, recruited or used by an armed force or armed group in any capacity, including but not limited to children, boys and girls, used as fighters, cooks, porters, spies or for sexual purposes.",Look for % of surveyed communities who note the recruitment of children into armed forces and/or groups,,"HRW, Amnesty, War Child, UNHCR",
Humanitarian outcomes,Preparedness/Pre-crisis,Education,Enrollment rates,# and % of children and youth 5-18 months enrolled in learning spaces/schools by school district/zone,Provide enrollment rates for children between 5-18 years of age (or different age brackets if relevant within the country) for the area of concern.,Children between 5-18 years of age,,
Humanitarian outcomes,Preparedness/Pre-crisis,Education,"# of teachers, male female, private, public by school district/zone,",Deleted (merged with 137),,,,
Humanitarian outcomes,In-crisis,Education,# of children without access to safe and adequate learning space,# of children out of school,Provide # of children not attending school in the areas of concern.,Children between 5-18 years of age,,
Humanitarian access,Preparedness/Pre-crisis,General,Access of relief actors to the population,,"Trends, scale, frequency and impact  of interference and threats against humanitarian actors (personnel, assets, and facilities)
Trends, scale, frequency and impact of existing movement and travel restrictions, Estimated # and location of people in need who cannot be reached by humanitarian actors",,,
Humanitarian access,Preparedness/Pre-crisis,General,Access of affected population to assistance,,"Trends, scale, frequency and impact of Level of affected population’s difficulties of access to services/assistance,
Trends, scale, frequency and impact of Existence and scope of denial of the existence of humanitarian needs or the entitlement to humanitarian assistance",,,
Humanitarian access,Preparedness/Pre-crisis,General,Security and logistics,,"Trends, scale, frequency and impact of Active hostilities, presence of mines and ERW
Trends, scale, and impact of Physical or logistical environment (infrastructure, climatic or seasonal events, inaccessible areas, logistical, and telecommunications related constraints).  
# and % of pre-crisis population in need pre-crisis not receiving regular assistance",,,
Humanitarian access,In-crisis,General,Access of relief actors to the population,,"Trends, scale, frequency and impact  of interference and threats against humanitarian actors (personnel, assets, and facilities)
Trends, scale, frequency and impact of existing movement and travel restrictions, # relief items in the pipeline not delivered due to access constraints, # of targeted beneficiaries by sector not reached due to access constraints",,,
Humanitarian access,In-crisis,General,Access of affected population to assistance,,"Trends, scale, frequency and impact of Level of affected population’s difficulties of access to services/assistance,
Trends, scale, frequency and impact of Existence and scope of denial of the existence of humanitarian needs or the entitlement to humanitarian assistance",,,
Humanitarian access,In-crisis,General,Security and logistics,,"Trends, scale, frequency and impact of Active hostilities, presence of mines and ERW
Trends, scale, and impact of Physical or logistical environment (infrastructure, climatic or seasonal events, inaccessible areas, logistical, and telecommunications related constraints).  
# and % of pre-crisis population in need pre-crisis not receiving regular assistance
",,,
Humanitarian access,In-crisis,General,Access of relief actors to the population,,Estimated # and location of people in need who cannot be reached by humanitarian actors,,Added to 199,
Humanitarian access,In-crisis,General,Access of relief actors to the population,,# relief items in the pipeline not delivered due to access constraints ,,Added to 199,
Humanitarian access,In-crisis,General,Access of affected population to assistance,,# of targeted beneficiaries by sector not reached due to access constraints,,Added to 199,
Humanitarian access,In-crisis,General,Access of relief actors to the population,,"# of incidents where health facilities, and/or personnel have been attacked",,,
Humanitarian access,In-crisis,General,Access of relief actors to the population,,"# of incidents where education facilities, students, teachers and or education personnel have been attacked",,,
Humanitarian access,In-crisis,General,Access of affected population to assistance,,Imposition of new curriculum by armed groups,,,
Capacities and response,Preparedness/Pre-crisis,Coping Mechanisms,"Traditional coping mechanisms, positive and negative",,,,,
Capacities and response,Preparedness/Pre-crisis,Coordination structure,Humanitarian coordination structure,,,,,
Capacities and response,Preparedness/Pre-crisis,Capacities and response,Operational lessons learnt from other earthquakes,Merged with 16,,,,
Capacities and response,Preparedness/Pre-crisis,Capacities and response,Country reponse capacity,,"Contingency plans, Details on national platform or center for Emergency management , # Government staff dedicated to humanitarian response coordination",,,
Capacities and response,Preparedness/Pre-crisis,Capacities and response,Details on national platform or center for Emergency management ,Merged with 214,,,,
Capacities and response,Preparedness/Pre-crisis,Capacities and response,# and type of items pre-positioned in the country by sector,,,,,
Capacities and response,Preparedness/Pre-crisis,Capacities and response,Handling procedures,,,,,
Capacities and response,Preparedness/Pre-crisis,Capacities and response,Labour rates,,,,,
Capacities and response,Preparedness/Pre-crisis,Capacities and response,Local transportation resources,,,,,
Capacities and response,In-crisis,Capacities and response,Humanitarian coordination structure,,"Clusters/Sectors Active, Staff contact list",,,
Capacities and response,In-crisis,Capacities and response,# Government staff dedicated to humanitarian response coordination,Merged with 2014,,,,
Capacities and response,In-crisis,Capacities and response,Contact list,Merged with 220,,,,
Capacities and response,In-crisis,Capacities and response,Standard and indicators agreed upon,,,,,
Capacities and response,In-crisis,Capacities and response,Availability of warehouses/storage facilities,See 126,,,,
Capacities and response,In-crisis,Capacities and response,Sector specific 3/4W,,,,,
Capacities and response,In-crisis,Capacities and response,Private sector capacity and presence,,,,,
Capacities and response,In-crisis,Capacities and response,Status of implementation of contingency plans,,,,,
Capacities and response,In-crisis,Protection,Care arrangements for separated and unaccompanied children,Merged with 188,,,,
Capacities and response,In-crisis,Protection,Capacity to respond to Family Separation,Merged with 188,,,,
Capacities and response,In-crisis,CCCM,"# and % of displacement sites where a camp manager is present
# and % of displacement sites where a site facilitator is present",,,,,
Capacities and response,In-crisis,Education,Existence of crisis sensitive curriculum,,,,,